country,amount,year
"Hong Kong, China",,2018
India,12369.31,2018
Japan,41355.76,2018
"Korea, Rep. 1",,2018
"Korea, Rep.",17745.6,2018
New Zealand 1,,2018
New Zealand,,2018
Singapore 1,,2018
Singapore,,2018
Special Categories,,2018
Thailand,11523.93,2018
United Kingdom,,2018
United States,24664.66,2018
"Hong Kong, China",,2017
India,10757.14,2017
Japan,24008.42,2017
"Korea, Rep. 1",15899.13,2017
"Korea, Rep.",13145.75,2017
New Zealand 1,,2017
New Zealand,,2017
Singapore 1,,2017
Singapore,,2017
Special Categories,,2017
Thailand,,2017
United Kingdom,,2017
United States,23613.22,2017
"Hong Kong, China",,2016
India,7919.03,2016
Japan,26344.51,2016
"Korea, Rep. 1",,2016
"Korea, Rep.",12770.22,2016
New Zealand 1,,2016
New Zealand,,2016
Singapore 1,,2016
Singapore,,2016
Special Categories,,2016
Thailand,10872.75,2016
United Kingdom,,2016
United States,21703.31,2016
"Hong Kong, China",,2015
India,7946.61,2015
Japan,29826.96,2015
"Korea, Rep. 1",10895.84,2015
"Korea, Rep.",13299.33,2015
New Zealand 1,,2015
New Zealand,,2015
Singapore 1,,2015
Singapore,,2015
Special Categories,,2015
Thailand,10197.01,2015
United Kingdom,,2015
United States,22560.99,2015
"Hong Kong, China",,2014
India,7995.34,2014
Japan,43135.79,2014
"Korea, Rep. 1",,2014
"Korea, Rep.",17891.71,2014
New Zealand 1,,2014
New Zealand,,2014
Singapore 1,11396.04,2014
Singapore,,2014
Special Categories,,2014
Thailand,,2014
United Kingdom,,2014
United States,24148.86,2014
"Hong Kong, China",,2013
India,8453.7,2013
Japan,31251.83,2013
"Korea, Rep. 1",,2013
"Korea, Rep.",17710.7,2013
New Zealand 1,,2013
New Zealand,,2013
Singapore 1,12144.19,2013
Singapore,,2013
Special Categories,,2013
Thailand,,2013
United Kingdom,,2013
United States,23820.3,2013
"Hong Kong, China",,2012
India,12611.73,2012
Japan,49680.33,2012
"Korea, Rep. 1",,2012
"Korea, Rep.",20540.98,2012
New Zealand 1,,2012
New Zealand,,2012
Singapore 1,15010.98,2012
Singapore,,2012
Special Categories,,2012
Thailand,,2012
United Kingdom,,2012
United States,29386.82,2012
"Hong Kong, China",,2011
India,15750.32,2011
Japan,52088.08,2011
"Korea, Rep. 1",,2011
"Korea, Rep.",24008.84,2011
New Zealand 1,,2011
New Zealand,,2011
Singapore 1,14596.11,2011
Singapore,,2011
Special Categories,,2011
Thailand,,2011
United Kingdom,,2011
United States,26797.97,2011
"Hong Kong, China",,2010
India,15109.41,2010
Japan,40088.03,2010
"Korea, Rep. 1",,2010
"Korea, Rep.",18829.45,2010
New Zealand 1,,2010
New Zealand,,2010
Singapore 1,10079.07,2010
Singapore,,2010
Special Categories,,2010
Thailand,10513.32,2010
United Kingdom,,2010
United States,22561.96,2010
"Hong Kong, China",,2009
India,11363.67,2009
Japan,30014.17,2009
"Korea, Rep. 1",,2009
"Korea, Rep.",12281.99,2009
New Zealand 1,,2009
New Zealand,,2009
Singapore 1,8792.37,2009
Singapore,,2009
Special Categories,,2009
Thailand,9303.74,2009
United Kingdom,,2009
United States,18669.86,2009
"Hong Kong, China",,2008
India,11379.98,2008
Japan,42731.58,2008
"Korea, Rep. 1",,2008
"Korea, Rep.",15485.8,2008
New Zealand 1,,2008
New Zealand,,2008
Singapore 1,14230.99,2008
Singapore,,2008
Special Categories,,2008
Thailand,,2008
United Kingdom,,2008
United States,24256.28,2008
"Hong Kong, China",,2007
India,,2007
Japan,26801.2,2007
"Korea, Rep. 1",,2007
"Korea, Rep.",11306.98,2007
New Zealand 1,,2007
New Zealand,7955.25,2007
Singapore 1,9182.73,2007
Singapore,,2007
Special Categories,,2007
Thailand,,2007
United Kingdom,,2007
United States,21252.49,2007
"Hong Kong, China",,2006
India,,2006
Japan,24446.82,2006
"Korea, Rep. 1",,2006
"Korea, Rep.",9310.3,2006
New Zealand 1,,2006
New Zealand,6738.63,2006
Singapore 1,8433.88,2006
Singapore,,2006
Special Categories,,2006
Thailand,,2006
United Kingdom,,2006
United States,19664.1,2006
"Hong Kong, China",,2005
India,,2005
Japan,21703.96,2005
"Korea, Rep. 1",,2005
"Korea, Rep.",8359.63,2005
New Zealand 1,,2005
New Zealand,6866.77,2005
Singapore 1,6902.21,2005
Singapore,,2005
Special Categories,,2005
Thailand,,2005
United Kingdom,,2005
United States,17460.41,2005
"Hong Kong, China",,2004
India,,2004
Japan,16314.19,2004
"Korea, Rep. 1",,2004
"Korea, Rep.",6740.74,2004
New Zealand 1,,2004
New Zealand,6444.98,2004
Singapore 1,4796.86,2004
Singapore,,2004
Special Categories,,2004
Thailand,,2004
United Kingdom,,2004
United States,16111.11,2004
"Hong Kong, China",,2003
India,,2003
Japan,12820.29,2003
"Korea, Rep. 1",,2003
"Korea, Rep.",5267.09,2003
New Zealand 1,,2003
New Zealand,5307.66,2003
Singapore 1,,2003
Singapore,,2003
Special Categories,,2003
Thailand,,2003
United Kingdom,3706.98,2003
United States,14194.3,2003
"Hong Kong, China",,2002
India,,2002
Japan,12064.75,2002
"Korea, Rep. 1",,2002
"Korea, Rep.",5431.9,2002
New Zealand 1,,2002
New Zealand,4321.32,2002
Singapore 1,,2002
Singapore,,2002
Special Categories,,2002
Thailand,,2002
United Kingdom,3312.09,2002
United States,13340.68,2002
"Hong Kong, China",,2001
India,,2001
Japan,12255.38,2001
"Korea, Rep. 1",,2001
"Korea, Rep.",4925.11,2001
New Zealand 1,,2001
New Zealand,3711.51,2001
Singapore 1,,2001
Singapore,,2001
Special Categories,,2001
Thailand,,2001
United Kingdom,3376.32,2001
United States,11729.05,2001
"Hong Kong, China",,2000
India,,2000
Japan,12600.2,2000
"Korea, Rep. 1",,2000
"Korea, Rep.",5230.43,2000
New Zealand 1,,2000
New Zealand,3798.14,2000
Singapore 1,,2000
Singapore,,2000
Special Categories,,2000
Thailand,,2000
United Kingdom,4174.79,2000
United States,14255.58,2000
"Hong Kong, China",,1999
India,,1999
Japan,9069.32,1999
"Korea, Rep. 1",,1999
"Korea, Rep.",3449.7,1999
New Zealand 1,,1999
New Zealand,4094.47,1999
Singapore 1,,1999
Singapore,,1999
Special Categories,,1999
Thailand,,1999
United Kingdom,3467.87,1999
United States,13422.41,1999
"Hong Kong, China",,1998
India,,1998
Japan,9111,1998
"Korea, Rep. 1",,1998
"Korea, Rep.",3295.68,1998
New Zealand 1,,1998
New Zealand,3351.75,1998
Singapore 1,,1998
Singapore,,1998
Special Categories,,1998
Thailand,,1998
United Kingdom,3602.95,1998
United States,13290.93,1998
"Hong Kong, China",,1997
India,,1997
Japan,10281.92,1997
"Korea, Rep. 1",,1997
"Korea, Rep.",4415.98,1997
New Zealand 1,,1997
New Zealand,4376.56,1997
Singapore 1,,1997
Singapore,,1997
Special Categories,,1997
Thailand,,1997
United Kingdom,3893.59,1997
United States,13370.05,1997
"Hong Kong, China",,1996
India,,1996
Japan,10097.62,1996
"Korea, Rep. 1",,1996
"Korea, Rep.",5405.77,1996
New Zealand 1,,1996
New Zealand,4219.44,1996
Singapore 1,,1996
Singapore,,1996
Special Categories,,1996
Thailand,,1996
United Kingdom,3890.33,1996
United States,14052.52,1996
"Hong Kong, China",,1995
India,,1995
Japan,10731.91,1995
"Korea, Rep. 1",,1995
"Korea, Rep.",4037.32,1995
New Zealand 1,,1995
New Zealand,3687.92,1995
Singapore 1,,1995
Singapore,2758.78,1995
Special Categories,,1995
Thailand,,1995
United Kingdom,3412.85,1995
United States,12256.84,1995
"Hong Kong, China",,1994
India,,1994
Japan,10921.61,1994
"Korea, Rep. 1",,1994
"Korea, Rep.",3075.31,1994
New Zealand 1,2444.7,1994
New Zealand,3014.16,1994
Singapore 1,,1994
Singapore,,1994
Special Categories,,1994
Thailand,,1994
United Kingdom,2948.08,1994
United States,10848.51,1994
"Hong Kong, China",,1993
India,,1993
Japan,9846.66,1993
"Korea, Rep. 1",,1993
"Korea, Rep.",2600.68,1993
New Zealand 1,2024.92,1993
New Zealand,2330.26,1993
Singapore 1,,1993
Singapore,,1993
Special Categories,5242.56,1993
Thailand,,1993
United Kingdom,2383.83,1993
United States,8899.19,1993
"Hong Kong, China",,1992
India,,1992
Japan,10125.28,1992
"Korea, Rep. 1",,1992
"Korea, Rep.",2441.33,1992
New Zealand 1,1848.13,1992
New Zealand,,1992
Singapore 1,,1992
Singapore,2696.56,1992
Special Categories,4712.25,1992
Thailand,,1992
United Kingdom,2390.81,1992
United States,8947.91,1992
"Hong Kong, China",,1991
India,,1991
Japan,10929.55,1991
"Korea, Rep. 1",,1991
"Korea, Rep.",2447.61,1991
New Zealand 1,1751.6,1991
New Zealand,,1991
Singapore 1,,1991
Singapore,2168.31,1991
Special Categories,4372.27,1991
Thailand,,1991
United Kingdom,2362.16,1991
United States,9144.35,1991
"Hong Kong, China",,1990
India,,1990
Japan,9814.55,1990
"Korea, Rep. 1",,1990
"Korea, Rep.",2070.77,1990
New Zealand 1,1693.11,1990
New Zealand,1812.75,1990
Singapore 1,,1990
Singapore,,1990
Special Categories,4842.34,1990
Thailand,,1990
United Kingdom,2658.62,1990
United States,9142.6,1990
"Hong Kong, China",,1989
India,,1989
Japan,9043.91,1989
"Korea, Rep. 1",,1989
"Korea, Rep.",1726.61,1989
New Zealand 1,1605.15,1989
New Zealand,1787.87,1989
Singapore 1,,1989
Singapore,,1989
Special Categories,4178.79,1989
Thailand,,1989
United Kingdom,2645.98,1989
United States,8837.37,1989
"Hong Kong, China",1652.45,1988
India,,1988
Japan,8174.2,1988
"Korea, Rep. 1",,1988
"Korea, Rep.",,1988
New Zealand 1,1423.72,1988
New Zealand,1513.67,1988
Singapore 1,,1988
Singapore,,1988
Special Categories,2982.09,1988
Thailand,,1988
United Kingdom,2436.46,1988
United States,7041.98,1988
